t_ms,equity
1756425600000,400.00
1756425900000,400.00
1756426200000,400.00
1756426500000,400.00
1756426800000,400.00
1756427100000,400.00
1756427400000,400.00
1756427700000,400.00
1756428000000,400.00
1756428300000,400.00
1756428600000,400.00
1756428900000,400.00
1756429200000,400.00
1756429500000,400.00
1756429800000,400.00
1756430100000,400.00
1756430400000,400.00
1756430700000,400.00
1756431000000,400.00
1756431300000,400.00
1756431600000,400.00
1756431900000,400.00
1756432200000,400.00
1756432500000,400.00
1756432800000,400.00
1756433100000,400.00
1756433400000,400.00
1756433700000,400.00
1756434000000,400.00
1756434300000,400.00
1756434600000,400.00
1756434900000,400.00
1756435200000,400.00
1756435500000,400.00
1756435800000,400.00
1756436100000,400.00
1756436400000,400.00
1756436700000,400.00
1756437000000,400.00
1756437300000,400.00
1756437600000,400.00
1756437900000,400.00
1756438200000,400.00
1756438500000,400.00
1756438800000,400.00
1756439100000,400.00
1756439400000,400.00
1756439700000,400.00
1756440000000,400.00
1756440300000,400.00
1756440600000,400.00
1756440900000,400.00
1756441200000,400.00
1756441500000,400.00
1756441800000,400.00
1756442100000,400.00
1756442400000,400.00
1756442700000,400.00
1756443000000,400.00
1756443300000,400.00
1756443600000,400.00
1756443900000,400.00
1756444200000,400.00
1756444500000,400.00
1756444800000,400.00
1756445100000,400.00
1756445400000,400.00
1756445700000,400.00
1756446000000,400.00
1756446300000,400.00
1756446600000,400.00
1756446900000,400.00
1756447200000,400.00
1756447500000,400.00
1756447800000,400.00
1756448100000,400.00
1756448400000,400.00
1756448700000,400.00
1756449000000,400.00
1756449300000,400.00
1756449600000,400.00
1756449900000,400.00
1756450200000,400.00
1756450500000,400.00
1756450800000,400.00
1756451100000,400.00
1756451400000,400.00
1756451700000,400.00
1756452000000,400.00
1756452300000,400.00
1756452600000,400.00
1756452900000,400.00
1756453200000,400.00
1756453500000,400.00
1756453800000,400.00
1756454100000,400.00
1756454400000,400.00
1756454700000,400.00
1756455000000,400.00
1756455300000,400.00
1756455600000,400.00
1756455900000,400.00
1756456200000,400.00
1756456500000,400.00
1756456800000,400.00
1756457100000,400.00
1756457400000,400.00
1756457700000,400.00
1756458000000,400.00
1756458300000,400.00
1756458600000,400.00
1756458900000,400.00
1756459200000,400.00
1756459500000,400.00
1756459800000,400.00
1756460100000,400.00
1756460400000,400.00
1756460700000,400.00
1756461000000,400.00
1756461300000,400.00
1756461600000,400.00
1756461900000,400.00
1756462200000,400.00
1756462500000,400.00
1756462800000,400.00
1756463100000,400.00
1756463400000,400.00
1756463700000,400.00
1756464000000,400.00
1756464300000,400.00
1756464600000,400.00
1756464900000,400.00
1756465200000,400.00
1756465500000,400.00
1756465800000,400.00
1756466100000,400.00
1756466400000,400.00
1756466700000,400.00
1756467000000,400.00
1756467300000,400.00
1756467600000,400.00
1756467900000,400.00
1756468200000,400.00
1756468500000,400.00
1756468800000,400.00
1756469100000,400.00
1756469400000,400.00
1756469700000,400.00
1756470000000,400.00
1756470300000,400.00
1756470600000,400.00
1756470900000,400.00
1756471200000,400.00
1756471500000,400.00
1756471800000,400.00
1756472100000,400.00
1756472400000,400.00
1756472700000,400.00
1756473000000,400.00
1756473300000,400.00
1756473600000,400.00
1756473900000,400.00
1756474200000,400.00
1756474500000,400.00
1756474800000,400.00
1756475100000,400.00
1756475400000,400.00
1756475700000,400.00
1756476000000,400.00
