t_ms,equity
1785196800000,200.00
1785197100000,200.00
1785197400000,200.00
1785197700000,200.00
1785198000000,200.00
1785198300000,200.00
1785198600000,200.00
1785198900000,200.00
1785199200000,200.00
1785199500000,200.00
1785199800000,200.00
1785200100000,200.00
1785200400000,200.00
1785200700000,200.00
1785201000000,200.00
1785201300000,200.00
1785201600000,200.00
1785201900000,200.00
1785202200000,200.00
1785202500000,200.00
1785202800000,200.00
1785203100000,200.00
1785203400000,200.00
1785203700000,200.00
1785204000000,200.00
1785204300000,200.00
1785204600000,200.00
1785204900000,200.00
1785205200000,200.00
1785205500000,200.00
1785205800000,200.00
1785206100000,200.00
1785206400000,200.00
1785206700000,200.00
1785207000000,200.00
1785207300000,200.00
1785207600000,200.00
1785207900000,200.00
1785208200000,200.00
1785208500000,200.00
1785208800000,200.00
1785209100000,200.00
1785209400000,200.00
1785209700000,200.00
1785210000000,200.00
1785210300000,200.00
1785210600000,200.00
1785210900000,200.00
1785211200000,200.00
1785211500000,200.00
1785211800000,200.00
1785212100000,200.00
1785212400000,200.00
1785212700000,200.00
1785213000000,200.00
1785213300000,200.00
1785213600000,200.00
1785213900000,200.00
1785214200000,200.00
1785214500000,200.00
1785214800000,200.00
1785215100000,200.00
1785215400000,200.00
1785215700000,200.00
1785216000000,200.00
1785216300000,200.00
1785216600000,200.00
1785216900000,200.00
1785217200000,200.00
1785217500000,200.00
1785217800000,200.00
1785218100000,200.00
1785218400000,200.00
1785218700000,200.00
1785219000000,200.00
1785219300000,200.00
1785219600000,200.00
1785219900000,200.00
1785220200000,200.00
1785220500000,200.00
1785220800000,200.00
1785221100000,200.00
1785221400000,200.00
1785221700000,200.00
1785222000000,200.00
1785222300000,200.00
1785222600000,200.00
1785222900000,200.00
1785223200000,200.00
1785223500000,200.00
1785223800000,200.00
1785224100000,200.00
1785224400000,200.00
1785224700000,200.00
1785225000000,200.00
1785225300000,200.00
1785225600000,200.00
1785225900000,200.00
1785226200000,200.00
1785226500000,200.00
1785226800000,200.00
1785227100000,200.00
1785227400000,200.00
1785227700000,200.00
1785228000000,200.00
1785228300000,200.00
1785228600000,200.00
1785228900000,200.00
1785229200000,200.00
1785229500000,200.00
1785229800000,200.00
1785230100000,200.00
1785230400000,200.00
1785230700000,200.00
1785231000000,200.00
1785231300000,200.00
1785231600000,200.00
1785231900000,200.00
1785232200000,200.00
1785232500000,200.00
1785232800000,200.00
1785233100000,200.00
1785233400000,200.00
1785233700000,200.00
1785234000000,200.00
1785234300000,200.00
1785234600000,200.00
1785234900000,200.00
1785235200000,200.00
1785235500000,200.00
1785235800000,200.00
1785236100000,200.00
1785236400000,200.00
1785236700000,200.00
1785237000000,200.00
1785237300000,200.00
1785237600000,200.00
1785237900000,200.00
1785238200000,200.00
1785238500000,200.00
1785238800000,200.00
1785239100000,200.00
1785239400000,200.00
1785239700000,200.00
1785240000000,200.00
1785240300000,200.00
1785240600000,200.00
1785240900000,200.00
1785241200000,200.00
1785241500000,200.00
1785241800000,200.00
1785242100000,200.00
1785242400000,200.00
1785242700000,200.00
1785243000000,200.00
1785243300000,200.00
1785243600000,200.00
1785243900000,200.00
1785244200000,200.00
1785244500000,200.00
1785244800000,200.00
1785245100000,200.00
1785245400000,200.00
1785245700000,200.00
1785246000000,200.00
1785246300000,200.00
1785246600000,200.00
1785246900000,200.00
1785247200000,200.00
1785247500000,200.00
1785247800000,200.00
1785248100000,200.00
1785248400000,200.00
1785248700000,200.00
1785249000000,200.00
1785249300000,200.00
1785249600000,200.00
1785249900000,200.00
1785250200000,200.00
1785250500000,200.00
